,bURL,bRating,bReview,bReviewCategory,VASentiment,PreprocessedReviews,IsEnglish
13,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,5.0,"Very good book!! I did like the chase aspect of the Da Vinci code a bit more, as well as the greater amount of puzzles it contained.  Did not guess the plot twist and boy does this book hit the nail on the head about unethical journalism oof. Could have once again done without the romance sub-subplot …",Positive,Positive,good book like chase aspect da vinci code bit well greater amount puzzles contained guess plot twist boy book hit nail head unethical journalism oof could done without romance,True
15,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,3.0,"Angels and Demons is a book, which makes you sleep deprived. Nowhere in the entire 500 odd pages, it feels like a dull affair. It is quite a display of author's knowledge and his ability to spin stories around facts.

Before reading this book, I thought that this is one of those mass fiction books, which lack originality (because of reviews from friends) . I wasn't completely wrong. There are commercial elements sprinkled here and there. But the book is not infested with them.

For me this book is mainly about the debate of science vs religion( especially Catholic Church ). Author showed eloquently , how both science and religion are useful for Humankind and that they don't need to compete but can complement in Human's search of meaning.

Discretion: only names of groups, places, arts, persons mentioned in the book are real and the story around them, as the genre of the book suggests, is fiction. You can read more about them on Wikipedia and other sites,which is true reader spirit, instead of believing this conspiracy fiction as the truth.",Neutral,Positive,angels demons book makes sleep deprived nowhere entire odd pages feels like dull affair quite display author knowledge ability spin stories around facts reading book thought one mass fiction books lack originality reviews friends completely wrong commercial elements sprinkled book infested book mainly debate science vs religion especially catholic church author showed eloquently science religion useful humankind need compete complement human search meaning discretion names groups places arts persons mentioned book real story around genre book suggests fiction read wikipedia sites true reader spirit instead believing conspiracy fiction truth,True
16,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,5.0,"I read this way back when I was still in high school. With that in mind I thought this book was so amazing that I thought a lot of it could easily be true (aside from the whole helicopter scene).

Dan Brown’s writing is so unique and smart, I loved it.",Positive,Positive,read way back still high school mind thought book amazing thought lot could easily true aside whole helicopter scene dan brown writing unique smart loved,True
17,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,3.0,"My thoughts for this book:

07:26: the book quote: ""Not overly beautiful but possessing full earthy features"" Me: Oh my gooooood I hate dan brown

08:47: the book quote: ""She's black, although she preferred African American. A little heavy, but smart as hell."" Me: the accent he uses for her is awful and super stereotypical

08:52: no one would ever in their lives have to defend their fucking watch choice all because it's fucking Mickey Mouse. Staaaahp

09:47: How does one FORCE their eyes to dilate?

10:11: (to be sung to the tune of Pulled from the Addams Family Musical)
I'm being pulled in the right direction
To find some dead guy
To find some dead guy
I'm being pulled in the right direction
A girl with earthy good looks
Wants to go through my books
To find her dads killer because they are crooks!

12:34: I have no idea what's going on in this book anymore

I understand why people really enjoyed this story. BUT it hasn’t aged well, and the writing is mediocre at best. Sorry not sorry",Neutral,Negative,thoughts book book quote overly beautiful possessing full earthy features oh gooooood hate dan brown book quote black although preferred african american little heavy smart hell accent uses awful super stereotypical one would ever lives defend fucking watch choice fucking mickey mouse staaaahp one force eyes dilate sung tune pulled addams family musical pulled right direction find dead guy find dead guy pulled right direction girl earthy good looks wants go books find dads killer crooks idea going book anymore understand people really enjoyed story aged well writing mediocre best sorry sorry,True
20,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,4.0,"The ending was so unexpected but also came together so perfectly.
So much action and no minute to rest.",Positive,Positive,ending unexpected also came together perfectly much action minute rest,True
21,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,3.0,Didn't need a romantic subplot.,Neutral,Negative,need romantic subplot,True
22,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,4.0,Better plot twists than M. Knight Shamalan,Positive,Positive,better plot twists knight shamalan,True
23,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,4.5,great page turner but dan brown is so relentlessly horny,Positive,Positive,great page turner dan brown relentlessly horny,True
24,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,4.0,"Exciting and entrancing, but, like The DaVinci Code, not great writing.",Positive,Neutral,exciting entrancing like davinci code great writing,True
25,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,4.0,It’s awful. Would not recommend.,Positive,Negative,awful would recommend,True
26,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,4.0,"I couldn’t resist and watched the movie after finishing the book. And off course, like most people, the book was so much better. In the book everything is explained better and more. You have all those historical flashbacks about what happened 400 years ago.

I just enjoy Dan Brown’s books so much. Especially the Robert Langdon books. I love the mystery and all the historical facts (or not). Like in each book, there are so many pov’s and it’s just so easy to read.

I gave it 4.5 because sometimes the passages are a bit too long.",Positive,Positive,resist watched movie finishing book course like people book much better book everything explained better historical flashbacks happened years ago enjoy dan brown books much especially robert langdon books love mystery historical facts like book many pov easy read gave sometimes passages bit long,True
27,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,4.25,"It's such crap. It was painful to read the whole thing and yet I wanted to finish it because everyone I knew had given it 5 stars. Worse than a long boring episode of a police procedural, it contains unnecessary jargon, first scientific then architectural, then just Italian words. A lot of it, even plot-wise could've been edited out. Not thrilling. It's a boring fantasy. I was intrigued by the concept of religion vs science but this book doesn't do it enough justice.",Positive,Negative,crap painful read whole thing yet wanted finish everyone knew given stars worse long boring episode police procedural contains unnecessary jargon first scientific architectural italian words lot even could edited thrilling boring fantasy intrigued concept religion vs science book enough justice,True
28,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,5.0,"Great book that changed my perspective of Catholic churches and people and know more about the Illuminati and past centuries' scientists/ artist.
Also I really like how the brands are symmetrical. They were great.",Positive,Positive,great book changed perspective catholic churches people know illuminati past centuries artist also really like brands symmetrical great,True
29,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,5.0,"Dan Brown might not be the best or well versed writer but I enjoyed this book. Yes, there are things that happen that are unrealistic and over the top or things that are way too convenient but that didn’t prevent me from wanting to progress in the story. I don’t need everything I read to be an intellectual journey, sometimes I just need some mindless fun and this book scratched that itch for me.",Positive,Positive,dan brown might best well versed writer enjoyed book yes things happen unrealistic top things way convenient prevent wanting progress story need everything read intellectual journey sometimes need mindless fun book scratched itch,True
30,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,4.0,i literally dreaded having free time and not having an excuse to read this. i just couldn’t. as a historian i just couldn’t bring myself to read this DNF at page 100 or so,Positive,Negative,literally dreaded free time excuse read historian bring read dnf page,True
32,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,5.0,"Reading this book is like making 1,000 tamales for Christmas that are going to be gone in minutes at the party.

[Long, arduous, and not for me.]

P.S.
This is what I call a ""man"" book, meaning that everything centers around ""competence"" foremost. There must be some pretense of competence and knowledge displayed by characters, ideally by one or more characters who happen to be the best in the world at something. Then, there must be action, ""smooth"" talking, and smart + beautiful women to have unrealistic interactions with. And the main character must be a slightly elevated version of the everyman.",Positive,Positive,reading book like making tamales christmas going gone minutes party long arduous call man book meaning everything centers around competence foremost must pretense competence knowledge displayed characters ideally one characters happen best world something must action smooth talking smart beautiful women unrealistic interactions main character must slightly elevated version everyman,True
34,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,1.0,"An adequate thriller. It was fast-paced and the suspense and my curiosity made me want to keep reading it. However, the story and dialogue turned a bit over the top for me near the ending. I rather liked Robert Langdon as a character, but sometimes I feel like he should have been smarter. I disliked the way Vittoria was portrayed; in my opinion it was another man's disappointing portrayal of a woman.",Negative,Positive,adequate thriller suspense curiosity made want keep reading however story dialogue turned bit top near ending rather liked robert langdon character sometimes feel like smarter disliked way vittoria portrayed opinion another man disappointing portrayal woman,True
35,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,3.0,"To put it short, this is one of the best books I have ever read in my entire life.

In a bit more words, it's the perfect blend of historical and science fiction. Brown somehow managed to create balance between those two genres, making the story all the more believable. Langdon's character is very down to earth and likable, which makes it easier to relate to him - despite the fact that being an academic and published author he's no average Joe - and to root for him. The supporting characters are great, too, and there's a twist in the end of almost every chapter, so the reader can get lost in the story real fast and will not be able to put the book down.

100% percent would recommend, although I must remark that deeply religious individuals might get upest and/or frustrated due to some topics discussed in the book.",Neutral,Positive,put short one best books ever read entire life bit words perfect blend historical science fiction brown somehow managed create balance two genres making story believable langdon character earth likable makes easier relate despite fact academic published author average joe root supporting characters great twist end almost every chapter reader get lost story real fast able put book percent would recommend although must remark deeply religious individuals might get upest frustrated due topics discussed book,True
36,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,4.0,"This was my second time reading this book, this time I listened to it with my husband. I have to say I still enjoyed it as I’m a sucker for these types of mass market conspiracy theory books he does.",Positive,Negative,second time reading book time listened husband say still enjoyed sucker types mass market conspiracy theory books,True
37,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,3.0,I really enjoyed this book!! Thought it was so interesting. Now I'm ready for the next Dan Brown book. :),Neutral,Positive,really enjoyed book thought interesting ready next dan brown book,True
38,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,5.0,"IT seems you either LOVE or HATE this book...I for one LOVED it...and will make a review soon. Right now im still reeling over its amazingnesssss

EDIT:

Okay, review time.
First off let me say that I held off reading this book for way too long, and that it is NOT JUST AN ADULT BOOK. Pre-Teens and above WILL understand this book.
Now let's get to the good stuff.
This book started off at an interesting pace, you get a vibe that the protaganist will definitley be interesting, and some major forshadowing led me to believe this book would be filled will twists and surprises.
The writing is what reeled me in. Ever since reading some amazing series (The Demonata, Cirque Du Freak, The Hunger Games etc) I was looking for something equally thrilling and surprsing, the fact that Angels and Demons was that series never crossed my mind.
As I was saying, the writing was descriptive, enthralling, and easily imaginable.
From page one Robert Langdon's first adventure flowed at an endlessley brilliant pace.
Why am I rambling? I need to actually describe it.

In the very beginning when Robert Langdon is called upon the first ambigram really had my mind soaring, wondering what could lie ahead. The blurb on the back was interesting and made me open the book quickly. I was in Italy where few books at a library were in English. This was, so I grabbed it. Starting off the story was definitley not thrust into a fast beginning, but it was an easy beginning that you sunk into and were fascinated in.

The story from there picked up and after countless events I was left with my mouth hanging wide open, but my fingers constantly flipping pages. The story's main plot is (This is not a spoiler: It says it on the back) That there's a bomb in The Vatican, and Professor Robert Langdon must go through a series of clues to help stop the bomb from going off.

This book takes place in 24 hours, which I was sure was impossible. This book isn't super tiny! It's a good sized book, and yet it was brilliantly executed in a 24 hour time range.

After reading about antimatter and the scientific studies I was fascinated and just kept reading so I could simply learn more about the amazing scientific facts contained in the book. The book mentions so many advanced terms and yet it's executed in a way that is easily understandable and for that I give Dan Brown Props.

By the time Langdon was in Rome, I was highly fascinated I wasn't expecting so many surprises i'd recentley read, and had no idea that those surprises were minor.

After having just been to Rome, the scenes and settings in the book were so vivid in my mind that it made me understand so much better and my heart was racing as I remembered the amazing spots and how these scenes took place.

I must say, this book is an awfully creepy one at times. It's sometimes bloody, and sometimes simply horrid, the idea of the criminals and whatnot, it's sometimes a tad hard to read for some people I imagine. Me, having dealt with books that are insanely gory, disturbing, and repuslive enjyoed the book and would read it late into the night. I read this book very quickly.

WOW, i'm getting distracted. Back to the actually story.

One of the main things I really enjoyed and kept me reading so quickly were the characters. The Camerlango, The Swiss Gaurd, Langdon, Vittoria, all of these characters had such history in them and were so dang interesting to meet. I felt like there was so much more unraveling than I would have needed, but it was wonderful! These characters actions often surprised me.

During the story I was shocked by Dan Brown's obviously extensive research. The perfection of the clues and Path of illumination and way everything mixed togethor was pure genius, I was shocked and kept wondering how such things could work, but having been in Rome I knew it was all so true!

I still wonder if this book is fiction.... Just kidding :)

The amazing plot and wonderfully executed story let me along through the climax of the story.
Woops, I'm sorry I just made a mistake.
There was no climax, the whole book was a climx!

The beginning was shocking and had your heart racing. The middle was fast and mysterious and thrilling! The ending was shocking and brilliant! The climax was all of it!

Since I won't reveal spoilers I must skip to my reaction to the ending.

The Ending: Okay, the ending was amazingly shocking. After a huge event happened, I thought it was all over, all questions were answered, everything was set straight, the story could end.

But no, there were a decent 100 pages (give or take) left and I wasn't sure why. Well, I SURE got an explanation.

The story after what seemed like a content ending had only one prominent mystery, which Langdon hadn't encountered yet. When he did, the following shock was amazing.

A huge surprise and betrayel (You guys know what i'm talking about) followed and an amazing revealance had my jaw nearly falling off! I was so surprised and raced through the end.

This story was brilliantly written, shocking executed, perfectley paced, amazingly surprising, and fantastically imaginative.
This story is one you CANT miss, and I highly recommend this book.

Thanks for reading :)",Positive,Positive,seems either love hate book one loved make review soon right im still reeling amazingnesssss edit okay review time first let say held reading book way long adult book understand book let get good stuff book started interesting pace get vibe protaganist definitley interesting major forshadowing led believe book would filled twists surprises writing reeled ever since reading amazing series demonata cirque du freak hunger games etc looking something equally thrilling surprsing fact angels demons series never crossed mind saying writing descriptive enthralling easily imaginable page one robert langdon first adventure flowed endlessley brilliant pace rambling need actually describe beginning robert langdon called upon first ambigram really mind soaring wondering could lie ahead blurb back interesting made open book quickly italy books library english grabbed starting story definitley thrust fast beginning easy beginning sunk fascinated story picked countless events left mouth hanging wide open fingers constantly flipping pages story main plot spoiler says back bomb vatican professor robert langdon must go series clues help stop bomb going book takes place hours sure impossible book super tiny good sized book yet brilliantly executed hour time range reading antimatter scientific studies fascinated kept reading could simply learn amazing scientific facts contained book book mentions many advanced terms yet executed way easily understandable give dan brown props time langdon rome highly fascinated expecting many surprises recentley read idea surprises minor rome scenes settings book vivid mind made understand much better heart racing remembered amazing spots scenes took place must say book awfully creepy one times sometimes bloody sometimes simply horrid idea criminals whatnot sometimes tad hard read people imagine dealt books insanely gory disturbing repuslive enjyoed book would read late night read book quickly wow getting distracted back actually story one main things really enjoyed kept reading quickly characters camerlango swiss gaurd langdon vittoria characters history dang interesting meet felt like much unraveling would needed wonderful characters actions often surprised story shocked dan brown obviously extensive research perfection clues path illumination way everything mixed togethor pure genius shocked kept wondering things could work rome knew true still wonder book fiction kidding amazing plot wonderfully executed story let along climax story woops sorry made mistake climax whole book climx beginning shocking heart racing middle fast mysterious thrilling ending shocking brilliant climax since wo reveal spoilers must skip reaction ending ending okay ending amazingly shocking huge event happened thought questions answered everything set straight story could end decent pages give take left sure well sure got explanation story seemed like content ending one prominent mystery langdon encountered yet following shock amazing huge surprise betrayel guys know talking followed amazing revealance jaw nearly falling surprised raced end story brilliantly written shocking executed perfectley paced amazingly surprising fantastically imaginative story one cant miss highly recommend book thanks reading,True
39,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,4.0,"Excellent book for the inquisitive mind

Love the mix of messages and information in the book, all intertwined with action that will have you at the edge of your seat!",Positive,Positive,excellent book inquisitive mind love mix messages information book intertwined action edge seat,True
40,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,3.75,"I wanted to read this before I saw the movie. It had the usual twists and turns of the other Dan Brown novels that I've read, so I actually wasn't terribly surprised about the ""final reveal."" I enjoyed the intelligent discussion of the tension between science and faith and how the two seemingly at-odds philosophies interact.",Positive,Positive,wanted read saw movie usual twists turns dan brown novels read actually terribly surprised final reveal enjoyed intelligent discussion tension science faith two seemingly philosophies interact,True
42,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,2.25,After reading this book all I want to do is take a flight to Rome! Such a great book! :D,Negative,Positive,reading book want take flight rome great book,True
45,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,4.0,"I adore the Robert Langdon series by Dan Brown. Ever since I read The Da Vinci Code, I’ve been making my way through the series. Although, I’ve been reading it in the most out-of-order you could ever imagine. And that’s the beauty of this series. It doesn’t matter where you begin. With the last, Origin, in the middle, The Lost Symbol, or with the very first, Angels and Demons.

If Dan Brown is a good writer or not. If his books are good or not. One thing is for sure. Wherever Robert travels, the reader travels with him. Brown’s descriptions of places, buildings, and history make the reader travel. And Rome and the Vatican are two places I’m somewhat familiar with because of my architecture degree. I’ve studied some of the places the story refers to. I’ve studied those Renaissance artists so prevalent in the streets and buildings of Rome. And so, I felt I was right there next to Robert, racing against time.
 Speaking of time, that is probably my biggest criticism of the story. Like all Robert Langdon books, this is a big book. Close to 500 pages. And the story spans 24 hours. It’s a constant race against the clock. Although how much information is being given, it slows the story down. And so, there’s a mix of fast-paced plot breaking at times for context, consequently taking away the trilling memento. The passing of time between chapters also isn’t constant. In some, no time passes at all. And in others, there’s a gap. At times, that made the story feel a bit weird, and it broke off the urgency to keep moving.

Other than that, there isn’t much else I didn’t enjoy about his story. Brown has a gift for mixing fiction with reality in a way you can’t distinguish both. Unless it’s a topic you are very knowledgeable about, there’s no way to separate what are theories and myths from facts. And it’s this mixture that makes the story real and incredibly engaging. It’s about the journey of exploring these secret organisations and creating an engaging narrative that sucks you in. Making you wish everything to be true because it would be a great story. It’s taking conspiracy theories and writing and adventure to uncover them. And what if 90% is fiction? There’s also no map behind the Declaration of Independence, and it’s a lot of fun to follow that story. Even if some details aren’t correct, feeding enough facts makes you believe in everything.

Also, Dan Brown follows a formula. Going from The Da Vinci Code to Origin, it’s very on the nose. And so, I was curious to see if the same formula was used in Angels and Demons. And in a way, it was. The Robert Langdon books have all the same premise: someone was murdered, there’s a strange symbol, Robert is called, he’s clueless about the crime and sometimes the victim, and the symbol takes him on a journey across a city to uncover something. This is a constant. Although in The Da Vinci Code and Origin, I also saw a formula for the final revelation, the real killer. And luckily, that was a little different. I could predict the one at fault in Origin, and when I read Angels and Demons, I expected to uncover the culprit the same way. But it didn’t work. And I’m glad it didn’t. It would be a bummer after reading only one book of the Robert Langdon series predicting the killer in all the other books after 100 pages. Still, he has a formula that works and continues to use it. And I’m fine with that.

Since Angels and Demons was the third book I read in the series, I was already aware of some background information about Robert. Although, since this is the first one published, Robert’s past is fully explained. His claustrophobia is one of his personality traits. That detail appears in every book (that I’ve read so far). Although in later books, it’s never fully explained where it comes from. And it makes sense since it was explained in the very first book of the series. I’ve always liked Robert, and I adore how he always knows everything, and reading Angels and Demons, allowed me to know him at a deeper level. It’s even somewhat explained why there aren’t any romantic relationships in the books despite Robert always having a beautiful woman sidekick.

Full review:  https://www.missknown.com/in-review-angels-and-demons/
(opens in a new tab) ",Positive,Positive,adore robert langdon series dan brown ever since read da vinci code making way series although reading could ever imagine beauty series matter begin last origin middle lost symbol first angels demons dan brown good writer books good one thing sure wherever robert travels reader travels brown descriptions places buildings history make reader travel rome vatican two places somewhat familiar architecture degree studied places story refers studied renaissance artists prevalent streets buildings rome felt right next robert racing time speaking time probably biggest criticism story like robert langdon books big book close pages story spans hours constant race clock although much information given slows story mix plot breaking times context consequently taking away trilling memento passing time chapters also constant time passes others gap times made story feel bit weird broke urgency keep moving much else enjoy story brown gift mixing fiction reality way distinguish unless topic knowledgeable way separate theories myths facts mixture makes story real incredibly engaging journey exploring secret organisations creating engaging narrative sucks making wish everything true would great story taking conspiracy theories writing adventure uncover fiction also map behind declaration independence lot fun follow story even details correct feeding enough facts makes believe everything also dan brown follows formula going da vinci code origin nose curious see formula used angels demons way robert langdon books premise someone murdered strange symbol robert called clueless crime sometimes victim symbol takes journey across city uncover something constant although da vinci code origin also saw formula final revelation real killer luckily little different could predict one fault origin read angels demons expected uncover culprit way work glad would bummer reading one book robert langdon series predicting killer books pages still formula works continues use fine since angels demons third book read series already aware background information robert although since first one published robert past fully explained claustrophobia one personality traits detail appears every book read far although later books never fully explained comes makes sense since explained first book series always liked robert adore always knows everything reading angels demons allowed know deeper level even somewhat explained romantic relationships books despite robert always beautiful woman sidekick full review https opens new tab,True
47,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,1.0,"Really enjoyed this book. Even with all its technology mumbo jumbo, Dan Brown finds a way to entice his readers. Find this to be the best from the Robert Langdon Series. Angels & Demons really blew me away.",Negative,Positive,really enjoyed book even technology mumbo jumbo dan brown finds way entice readers find best robert langdon series angels demons really blew away,True
49,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,2.0,Holy shit that is amazing!! That twist. That ending... Wow. Who would have ever guessed??!,Negative,Positive,holy shit amazing twist ending wow would ever guessed,True
50,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,3.75,Amazing! Excellently written. Fast paced and a great story.,Positive,Positive,amazing excellently written fast paced great story,True
